POLYGON_ID,NAME,NUTS_ID,POPULATION,OUTBREAK-R_BASELINE,OUTBREAK-R_EVENT,OUTBREAK-R_BASELINE_lower,OUTBREAK-R_BASELINE_upper,OUTBREAK-R_EVENT_lower,OUTBREAK-R_EVENT_upper,RELATIVE_RISK,EMERGENCE/IMPORTATION_HOSTPOT,OUTBREAK_HOTSPOT
ITA.16.8_1,Pistoia,ITI13,291697,1.4010977993906075,1.4229515013814689,1.0127884791740978,1.7400267976656887,1.003159841010734,1.759436101423615,0.5118799070901389,False,False
ITA.16.2_1,Firenze,ITI14,995517,1.436172515167725,1.442492210164126,1.0381423610121974,1.7835861733204335,1.016935752766417,1.7835975914295878,0.5386445585930787,False,False
ITA.16.9_1,Prato,ITI15,257073,1.4250563022543328,1.4394856795535724,1.030106967354719,1.7697809212057898,1.0148161929877817,1.7798801080922375,0.5303657156686219,False,False
ITA.13.6_1,Torino,ITC11,2230946,1.418822194318805,1.4187987895743919,1.025600620476024,1.7620387672518856,1.0002322403777495,1.7543014000194659,0.5256413729255808,True,False
ITA.4.2_1,Cosenza,ITF61,690503,1.5086746328790208,1.502769606636971,1.0905507721635543,1.8736267313457458,1.0594304290807783,1.8581287524362597,0.5884009544913055,False,True
ITA.4.3_1,Crotone,ITF62,168581,1.5135471005027632,1.5005378329348997,1.094072852546966,1.879677860852735,1.0578570615064316,1.8553692323698205,0.591499727391015,False,True
ITA.4.1_1,Catanzaro,ITF63,349344,1.5537889614075049,1.473664951663392,1.1231618234400584,1.929654326730164,1.0389120761870765,1.8221417348672997,0.6160202521832865,False,False
ITA.4.5_1,Vibo Valentia,ITF64,154715,1.4697214718529756,1.4784875986441197,1.0623933425167795,1.8252507050122626,1.0423119712458617,1.8281047906665142,0.5625487118676054,False,False
ITA.14.5_1,Ogliastra,ITG2A,55535,1.5106595786282864,1.4718607838674016,1.0919855971896988,1.8760918403460858,1.0376401644756617,1.81991093645273,0.5896668358535517,False,False
ITA.14.3_1,Medio Campidano,ITG2B,94988,1.444068818503346,1.4393197633347778,1.0438502316903604,1.79339261182348,1.0146992244983388,1.7796749577516424,0.5444146727401977,False,False
ITA.20.7_1,Vicenza,ITH32,855297,1.3640579479825368,1.3895427669514886,0.9860140921236502,1.6940269152451821,0.9796071755217055,1.7181272209720224,0.48146218086073733,False,False
ITA.20.1_1,Belluno,ITH33,201309,1.430717293014213,1.4627073790496896,1.0341990344643892,1.7768113195318835,1.0311871489563498,1.8085930307675453,0.5346047866470145,False,False
ITA.10.3_1,Como,ITC42,597642,1.4158284183171335,1.4335708896071118,1.0234365589486705,1.758320789483751,1.0106463532310908,1.7725666508492908,0.5233514552274069,False,False
ITA.10.5_1,Lecco,ITC43,334961,1.4052626803437105,1.4214153350879248,1.0157990780404076,1.7451991735488273,1.0020768664094906,1.7575366786871214,0.515158148439864,False,False
ITA.10.11_1,Sondrio,ITC44,180425,1.4663041891632476,1.4610584004101328,1.059923147688308,1.8210067732482471,1.0300246433134788,1.806554119008363,0.5601856405594288,False,False
ITA.16.4_1,Livorno,ITI16,331877,1.5137864561918983,1.4466039281554124,1.0942458716499055,1.879975117270845,1.0198344533633208,1.7886816052316878,0.5916512058944995,False,False
ITA.16.7_1,Pisa,ITI17,418122,1.414243667965035,1.4352913006589507,1.0222910165749186,1.7563526841298913,1.0118592176720504,1.7746938866060646,0.5221336798452361,False,False
ITA.14.2_1,Carbonia,ITG2C,121097,1.4093856155126914,1.426421613339371,1.018779356248925,1.7503194568596605,1.0056062188082902,1.7637267889479524,0.5183761881548616,False,False
ITA.10.1_1,Bergamo,ITC46,1108126,1.3737561740090298,1.406867633331985,0.9930244889655627,1.7060711659629098,0.9918209510347276,1.7395488894776545,0.48965204284913444,True,False
ITA.10.2_1,Brescia,ITC47,1255437,1.3657286006189702,1.375243118999792,0.9872217292661948,1.696101702856903,0.9695261344238136,1.7004461427206292,0.48288475925444624,True,False
ITA.4.4_1,Reggio C,ITF65,530967,1.4685180368434372,1.4840355948553283,1.0615234352814493,1.8237561561187043,1.0462232268239757,1.8349647186507676,0.5617183375363051,False,True
ITA.15.9_1,Trapani,ITG11,421256,1.504586411950707,1.4574089369579806,1.0875955872661722,1.8685495597356427,1.027451825355255,1.8020416688353889,0.5857784422110012,False,False
ITA.20.4_1,Treviso,ITH34,883522,1.37772061140144,1.3911506080584284,0.9958901964980321,1.7109946104958051,0.980740679810251,1.7201152674276858,0.49295288399038467,False,False
ITA.10.10_1,Pavia,ITC48,540376,1.413396673773712,1.424578739082116,1.0216787638404754,1.755300799963768,1.004307019612031,1.7614481311753927,0.5214812208472435,False,False
ITA.16.1_1,Arezzo,ITI18,339172,1.3856895330128682,1.4045709977965857,1.0016505595526357,1.7208912338139013,0.990201856823636,1.7367091697339592,0.49950692688379844,False,False
ITA.16.10_1,Siena,ITI19,265179,1.4423438495970697,1.423342030050806,1.0426033318408499,1.7912503687028596,1.003435157968102,1.7599189782038887,0.543161910697258,False,False
ITA.10.6_1,Lodi,ITC49,227412,1.3969390656276721,1.4132196145608928,1.009782323825852,1.7348620559931145,0.9962990042034463,1.7474029203977917,0.5085786681570953,False,False
ITA.10.4_1,Cremona,ITC4A,355908,1.3910780339884614,1.4246337005218295,1.0055456564619827,1.7275832264077502,1.0043457666171616,1.7615160893181152,0.5038783247902479,False,False
ITA.15.6_1,Palermo,ITG12,1222988,1.4864677301259055,1.4679420148486575,1.0744984342922959,1.8460479242843235,1.03487749006126,1.8150654981661651,0.573903035588134,True,False
ITA.15.5_1,Messina,ITG13,613887,1.4757182413411647,1.4463860557277086,1.066728128462873,1.8326981077655973,1.0196808565121818,1.7884122126245365,0.5666574263931012,False,False
ITA.10.7_1,Mantova,ITC4B,406919,1.3698608233581873,1.3825794036582957,0.9902087210275697,1.7012335204240197,0.9746981070064977,1.7095172347894452,0.48638228849698095,False,False
ITA.10.8_1,Milano,ITC4C,3265327,1.521678567620905,1.5217265784680176,1.099950712193608,1.8897763498347733,1.0727948148870514,1.881568469517856,0.5966070826040076,True,True
ITA.10.9_1,Monza,ITC4D,870193,1.4470382767515033,1.456039655688903,1.0459967150439353,1.7970803893138096,1.0264865022371774,1.800348594338135,0.5465612106388602,False,False
ITA.20.5_1,Venezia,ITH35,848829,1.4234544589159905,1.4163287331979075,1.0289490692556567,1.7677915880303399,0.9984908870290825,1.7512472506987624,0.5291574529570502,False,False
ITA.1.2_1,L'Aquila,ITF11,294838,1.4404137417155225,1.4873505880970366,1.041208146560533,1.7888533629851013,1.048560248212319,1.839063606616924,0.5417550582974341,False,True
