DATE,Rt_ADJUSTED,Rt_ADJUSTED_lower,R_ADJUSTED_upper,Rt_UNADJUSTED,Rt_UNADJUSTED_lower,R_UNADJUSTED_upper
2023-06-11,0.8314927298217517,0.706768820348489,0.9562166392950144,1.0452807272882316,0.9407526545594085,1.149808800017055
2023-06-12,0.8272397883094545,0.7031538200630364,0.9513257565558727,1.121990028280139,1.0097910254521252,1.234189031108153
2023-06-13,0.8274838760137344,0.7033612946116742,0.9516064574157945,1.195340568711354,1.0758065118402187,1.3148746255824897
2023-06-14,0.831776154336857,0.7070097311863285,0.9565425774873855,1.2589144146409452,1.1330229731768506,1.3848058561050398
2023-06-15,0.8332345036038962,0.7082493280633118,0.9582196791444805,1.279657001068162,1.1516913009613459,1.4076227011749785
2023-06-16,0.8429538314375354,0.7165107567219051,0.9693969061531656,1.2719602605810691,1.1447642345229623,1.3991562866391762
2023-06-17,0.8574039303149417,0.7287933407677004,0.9860145198621828,1.2584054518619763,1.1325649066757786,1.384245997048174
2023-06-18,0.875093257912003,0.7438292692252025,1.0063572465988033,1.2825695752537638,1.1543126177283876,1.4108265327791403
2023-06-19,0.9007877158769443,0.7656695584954026,1.0359058732584858,1.3131622223038815,1.1818460000734934,1.4444784445342698
2023-06-20,0.9331295137648626,0.7931600867001333,1.073098940829592,1.3433426288090216,1.2090083659281194,1.4776768916899239
2023-06-21,0.970900624512466,0.8252655308355961,1.1165357181893358,1.3612132050252392,1.2250918845227154,1.4973345255277632
2023-06-22,1.012036431446417,0.8602309667294544,1.1638418961633794,1.361189704261512,1.2250707338353608,1.4973086746876634
2023-06-23,1.0510731955687,0.8934122162333951,1.208734174904005,1.331462852115085,1.1983165669035767,1.4646091373265937
2023-06-24,1.0922717018472814,0.9284309465701892,1.2561124571243736,1.2947304656356236,1.1652574190720613,1.424203512199186
2023-06-25,1.1355270692976926,0.9651980089030388,1.3058561296923465,1.249657724443311,1.1246919519989798,1.374623496887642
2023-06-26,1.170772093006824,0.9951562790558003,1.3463879069578475,1.2051198039971296,1.0846078235974166,1.3256317843968426
2023-06-27,1.1981979776585558,1.0184682810097725,1.3779276743073392,1.163845145380692,1.0474606308426229,1.2802296599187613
2023-06-28,1.2203703340777106,1.037314783966054,1.403425884189367,1.1306265683278411,1.017563911495057,1.2436892251606253
2023-06-29,1.238914095612953,1.05307698127101,1.4247512099548958,1.1068636400405445,0.9961772760364901,1.217550004044599
2023-06-30,1.2459408378656918,1.059049712185838,1.4328319635455453,1.0891497160843917,0.9802347444759526,1.198064687692831
2023-07-01,1.2482845829134253,1.0610418954764114,1.435527270350439,1.076240223362028,0.9686162010258252,1.183864245698231
2023-07-02,1.2410845194596036,1.0549218415406632,1.427247197378544,1.0510378725479814,0.9459340852931833,1.1561416598027796
2023-07-03,1.2283551334527731,1.0441018634348571,1.412608403470689,1.0286537282805592,0.9257883554525034,1.1315191011086152
2023-07-04,1.2178079463361644,1.0351367543857397,1.4004791382865889,1.0078287271259405,0.9070458544133465,1.1086115998385346
2023-07-05,1.2042681041052279,1.0236278884894436,1.384908319721012,0.9869632379446767,0.888266914150209,1.0856595617391445
2023-07-06,1.1862752321079009,1.0083339472917157,1.3642165169240859,0.9659120787132991,0.8693208708419692,1.0625032865846291
2023-07-07,1.1706661282109554,0.9950662089793121,1.3462660474425987,0.9448419979625394,0.8503577981662855,1.0393261977587935
2023-07-08,1.1514578435725409,0.9787391670366598,1.324176520108422,0.9252095441787537,0.8326885897608783,1.0177304985966291
2023-07-09,1.1339503781760387,0.9638578214496328,1.3040429349024445,0.9054968071771627,0.8149471264594464,0.9960464878948792
2023-07-10,1.1240929807288407,0.9554790336195146,1.2927069278381667,0.8859000305315567,0.7973100274784011,0.9744900335847125
2023-07-11,1.106162223111157,0.9402378896444834,1.2720865565778303,0.8646962722021199,0.7782266449819079,0.9511658994223319
2023-07-12,1.0846503289051754,0.9219527795693991,1.2473478782409517,0.8443844401804828,0.7599459961624345,0.9288228841985311
2023-07-13,1.064516143844911,0.9048387222681742,1.2241935654216474,0.8248360081224826,0.7423524073102343,0.907319608934731
2023-07-14,1.0453865301465273,0.8885785506245482,1.2021945096685063,0.8046390141201682,0.7241751127081515,0.8851029155321851
2023-07-15,1.0267651621383842,0.8727503878176266,1.1807799364591418,0.7834320385828939,0.7050888347246045,0.8617752424411833
2023-07-16,1.0078085412884032,0.8566372600951427,1.1589798224816636,0.7629787577174865,0.6866808819457378,0.8392766334892352
2023-07-17,0.9902756435775801,0.841734297040943,1.138816990114217,0.7410585291633223,0.6669526762469901,0.8151643820796546
2023-07-18,0.9713635752828275,0.8256590389904033,1.1170681115752514,0.722015587928295,0.6498140291354655,0.7942171467211245
2023-07-19,0.9556999130404711,0.8123449260844005,1.0990548999965417,0.7026589352135159,0.6323930416921643,0.7729248287348675
2023-07-20,0.9393129612421891,0.7984160170558607,1.0802099054285175,0.6830639369942125,0.6147575432947913,0.7513703306936338
2023-07-21,0.9202106826323453,0.7821790802374935,1.058242285027197,0.6647166294376633,0.598244966493897,0.7311882923814297
2023-07-22,0.9030829558788015,0.7676205124969813,1.0385453992606217,0.6475986002808252,0.5828387402527426,0.7123584603089077
2023-07-23,0.8860446609474537,0.7531379618053357,1.0189513600895717,0.6322431958044783,0.5690188762240305,0.6954675153849262
